,District,Latitude,Longitude,October 2024 Probability,October 2024 Tercile,October 2024 Probability Range,November 2024 Probability,November 2024 Tercile,November 2024 Probability Range,December 2024 Probability,December 2024 Tercile,December 2024 Probability Range,January 2025 Probability,January 2025 Tercile,January 2025 Probability Range,February 2025 Probability,February 2025 Tercile,February 2025 Probability Range
21,Kainanatu District,-6.461538461538462,146.04444444444445,35.378907581945256,above normal,<40,45.844753605649,above normal,40-50,43.18186739508577,above normal,40-50,36.23328787374318,above normal,<40,34.44039997232867,below normal,<40
22,Kainanatu District,-6.369230769230769,145.66666666666666,46.128016572129006,above normal,40-50,44.16906545610719,above normal,40-50,43.29757905828745,above normal,40-50,36.340507989840845,near normal,<40,35.24897914357763,near normal,<40
23,Kainanatu District,-6.369230769230769,145.76111111111112,42.958009678317616,above normal,40-50,44.4466320717185,above normal,40-50,43.641015170365016,above normal,40-50,35.649584135520435,near normal,<40,34.500287562258535,near normal,<40
24,Kainanatu District,-6.369230769230769,145.85555555555555,39.788002784507185,above normal,<40,44.724198687329725,above normal,40-50,43.98445128244249,above normal,40-50,34.958660281200224,near normal,<40,33.75159598093966,near normal,<40
25,Kainanatu District,-6.369230769230769,145.95,36.61799589069675,above normal,<40,45.001765302940946,above normal,40-50,44.32788739451996,above normal,40-50,34.33159356823153,above normal,<40,33.534664536272665,below normal,<40
26,Kainanatu District,-6.369230769230769,146.04444444444445,35.47696313050025,near normal,<40,45.27933191855226,above normal,40-50,44.67132350659753,above normal,40-50,35.91404311408894,above normal,<40,33.99026464596994,above normal,<40
27,Kainanatu District,-6.276923076923077,145.76111111111112,40.65756678595225,above normal,40-50,45.27907271028746,above normal,40-50,43.47318288749172,above normal,40-50,34.57322059956787,near normal,<40,34.73076926809249,near normal,<40
28,Kainanatu District,-6.276923076923077,145.85555555555555,38.19134067811032,above normal,<40,45.784892548926706,above normal,40-50,43.816618999569194,above normal,40-50,33.86327570817891,near normal,<40,34.22935205162848,near normal,<40
29,Kainanatu District,-6.276923076923077,145.95,35.7251145702684,above normal,<40,46.290712387565954,above normal,40-50,44.16005511164666,above normal,40-50,34.46586112748163,above normal,<40,33.72793483516448,near normal,<40
30,Kainanatu District,-6.276923076923077,146.04444444444445,35.930114003009415,near normal,<40,46.79653222620536,above normal,40-50,44.50349122372423,above normal,40-50,35.953205167485365,above normal,<40,33.43865882569879,above normal,<40
31,Kainanatu District,-6.184615384615384,145.85555555555555,36.59467857171345,above normal,<40,46.8455864105237,above normal,40-50,43.64878671669589,above normal,40-50,34.02421765691212,below normal,<40,34.70710812231731,near normal,<40
32,Kainanatu District,-6.184615384615384,145.95,36.098829177937546,near normal,<40,47.57965947219097,above normal,40-50,43.99222282877336,above normal,40-50,34.600128686731736,above normal,<40,34.45296527070818,near normal,<40
33,Kainanatu District,-6.184615384615384,146.04444444444445,36.38326487551858,near normal,<40,48.31373253385846,above normal,40-50,44.33565894085093,above normal,40-50,35.99236722088178,above normal,<40,34.19882241909897,near normal,<40
34,Kainanatu District,-6.092307692307692,145.85555555555555,36.83817752267673,near normal,<40,47.90628027212068,above normal,40-50,43.48095443382259,above normal,40-50,34.89022914186646,below normal,<40,35.18486419300613,near normal,<40
35,Kainanatu District,-6.092307692307692,145.95,36.83729663535224,near normal,<40,48.868606556815976,above normal,40-50,43.82439054590006,above normal,40-50,34.734396245981834,above normal,<40,35.17799570625187,near normal,<40
36,Lufa District,-6.646153846153846,145.19444444444446,56.28408042103329,above normal,50-60,52.14963192307193,above normal,50-60,43.03394134295996,above normal,40-50,38.08919726850544,near normal,<40,37.35646477936104,above normal,<40
37,Lufa District,-6.553846153846154,145.1,56.083484244122936,above normal,50-60,52.346936569225,above normal,50-60,43.65968005842622,above normal,40-50,38.665518444122995,near normal,<40,36.289180334033766,above normal,<40
38,Lufa District,-6.553846153846154,145.19444444444446,55.92603486281985,above normal,50-60,50.76222677610149,above normal,50-60,43.201773482782116,above normal,40-50,38.58151003135989,near normal,<40,35.30890752696463,above normal,<40
39,Lufa District,-6.461538461538462,145.00555555555556,55.57855630833225,above normal,50-60,53.07682187822072,above normal,50-60,44.28541877389233,above normal,40-50,39.6602958904629,near normal,<40,36.72012411550375,near normal,<40
40,Lufa District,-6.461538461538462,145.1,55.57327280646933,above normal,50-60,51.22582175367617,above normal,50-60,43.82751219824837,above normal,40-50,39.367059342338656,near normal,<40,36.50614062552521,near normal,<40
41,Lufa District,-6.461538461538462,145.19444444444446,55.56798930460641,above normal,50-60,49.37482162913106,above normal,40-50,43.36960562260427,above normal,40-50,39.07382279421434,near normal,<40,36.2921571355466,near normal,<40
42,Lufa District,-6.461538461538462,145.2888888888889,55.56270580274349,above normal,50-60,47.52382150458651,above normal,40-50,42.9116990469603,above normal,40-50,38.7805862460901,near normal,<40,36.078173645568064,near normal,<40
43,Lufa District,-6.461538461538462,145.38333333333333,55.55742230088056,above normal,50-60,45.67282138004196,above normal,40-50,42.45379247131633,above normal,40-50,38.48734969796587,near normal,<40,35.86419015558952,near normal,<40
44,Lufa District,-6.369230769230769,145.19444444444446,54.306865082465706,above normal,50-60,48.10178685121127,above normal,40-50,43.37064097033344,above normal,40-50,39.25637107139261,near normal,<40,37.845746274207166,near normal,<40
45,Lufa District,-6.369230769230769,145.2888888888889,54.39703760152464,above normal,50-60,46.11816957012165,above normal,40-50,42.95324144577247,above normal,40-50,38.794413357224364,near normal,<40,37.58438711851939,near normal,<40
46,Lufa District,-6.369230769230769,145.38333333333333,54.48721012058357,above normal,50-60,44.13455228903204,above normal,40-50,42.5358419212115,above normal,40-50,38.33245564305612,near normal,<40,37.3230279628316,near normal,<40
47,Lufa District,-6.369230769230769,145.4777777777778,52.468030359749875,above normal,50-60,43.61393222488474,above normal,40-50,42.61070683413251,above normal,40-50,37.72235569848126,near normal,<40,36.746362306215374,near normal,<40
48,Lufa District,-6.276923076923077,145.38333333333333,49.660360597359585,above normal,40-50,44.00698190247935,above normal,40-50,42.30086732357904,above normal,40-50,37.332176157089265,near normal,<40,36.70541270110668,near normal,<40
49,Lufa District,-6.276923076923077,145.4777777777778,48.05624510947876,above normal,40-50,43.761613194369566,above normal,40-50,42.44287455125921,above normal,40-50,36.703055273734954,near normal,<40,36.23502091748464,near normal,<40
50,Obura/Wonenara District,-7.107692307692307,145.66666666666666,53.47509575185794,above normal,50-60,54.337240196245325,above normal,50-60,40.36631251233416,above normal,40-50,38.57636252923687,above normal,<40,36.03579327274574,above normal,<40
51,Obura/Wonenara District,-7.107692307692307,145.76111111111112,52.4648639387238,above normal,50-60,53.76484608047758,above normal,50-60,39.40979760405394,above normal,<40,38.920328042687416,above normal,<40,35.36535217266741,below normal,<40
52,Obura/Wonenara District,-7.107692307692307,145.85555555555555,51.454632125589974,above normal,50-60,53.19245196471001,above normal,50-60,38.45328269577401,above normal,<40,39.264293556137865,above normal,<40,35.8569066624389,below normal,<40
53,Obura/Wonenara District,-7.015384615384615,145.57222222222222,54.02435207564803,above normal,50-60,54.741802548235036,above normal,50-60,40.2017160084548,above normal,40-50,35.76964923356125,near normal,<40,36.93547356511051,above normal,<40
54,Obura/Wonenara District,-7.015384615384615,145.66666666666666,52.93803575506858,above normal,50-60,54.16940836013449,above normal,50-60,39.07401116793841,above normal,<40,36.411314398514904,above normal,<40,35.8304421911542,below normal,<40
55,Obura/Wonenara District,-7.015384615384615,145.76111111111112,51.85171943448881,above normal,50-60,53.59701417203378,above normal,50-60,37.94630632742168,above normal,<40,37.078638668283865,above normal,<40,36.30297561392619,below normal,<40
56,Obura/Wonenara District,-7.015384615384615,145.85555555555555,50.76540311390935,above normal,50-60,53.024619983933235,above normal,50-60,37.03586159816077,near normal,<40,37.74596293805263,above normal,<40,36.77550903669805,below normal,<40
57,Obura/Wonenara District,-6.9230769230769225,145.4777777777778,54.760746032762114,above normal,50-60,54.738952148841776,above normal,50-60,40.678124283553124,above normal,40-50,37.79698934127986,near normal,<40,37.99023701288691,above normal,<40
58,Obura/Wonenara District,-6.9230769230769225,145.57222222222222,53.53229917945972,above normal,50-60,54.19737941031938,above normal,50-60,39.48050018493112,above normal,<40,36.889964912688846,near normal,<40,36.36111618431119,above normal,<40
59,Obura/Wonenara District,-6.9230769230769225,145.66666666666666,52.303852326157326,above normal,50-60,53.65580667179698,above normal,50-60,38.28287608630911,above normal,<40,35.98294048409784,near normal,<40,36.425777849290036,below normal,<40
60,Obura/Wonenara District,-6.9230769230769225,145.76111111111112,51.07540547285457,above normal,50-60,53.11423393327443,above normal,50-60,37.54262370727555,near normal,<40,35.48766553443888,above normal,<40,36.87488709457021,below normal,<40
61,Obura/Wonenara District,-6.9230769230769225,145.85555555555555,49.846958619552176,above normal,40-50,52.57266119475203,above normal,50-60,36.864556776113304,near normal,<40,36.4299147474915,above normal,<40,37.323996339850254,below normal,<40
62,Obura/Wonenara District,-6.9230769230769225,145.95,48.61851176624978,above normal,40-50,52.03108845622964,above normal,50-60,36.18648984495106,near normal,<40,37.37216396054413,above normal,<40,37.773105585130295,below normal,<40
63,Obura/Wonenara District,-6.8307692307692305,145.57222222222222,52.93707062465411,above normal,50-60,52.40268914407232,above normal,50-60,40.08692181343168,above normal,40-50,36.95262052106441,near normal,<40,35.47718372858024,above normal,<40
64,Obura/Wonenara District,-6.8307692307692305,145.66666666666666,51.347223189072814,above normal,50-60,51.994263974317,above normal,50-60,39.15559289724014,above normal,<40,36.083638241438116,near normal,<40,35.82158359325611,below normal,<40
65,Obura/Wonenara District,-6.8307692307692305,145.76111111111112,49.75737575349104,above normal,40-50,51.585838804561554,above normal,50-60,38.224263981048324,above normal,<40,35.21465596181156,near normal,<40,36.23265065964067,below normal,<40
66,Obura/Wonenara District,-6.8307692307692305,145.85555555555555,48.16752831790974,above normal,40-50,51.17741363480623,above normal,50-60,37.292935064856785,above normal,<40,35.78543673387063,above normal,<40,36.64371772602511,below normal,<40
67,Obura/Wonenara District,-6.8307692307692305,145.95,46.577680882328444,above normal,40-50,50.76898846505091,above normal,50-60,36.361606148665246,above normal,<40,36.84181242374829,above normal,<40,37.05478479240955,below normal,<40
68,Obura/Wonenara District,-6.7384615384615385,145.66666666666666,50.3905940519883,above normal,50-60,50.33272127683701,above normal,50-60,40.02830970817118,above normal,40-50,36.184335998778394,near normal,<40,35.217389337222166,below normal,<40
69,Obura/Wonenara District,-6.7384615384615385,145.76111111111112,48.43934603412752,above normal,40-50,50.05744367584868,above normal,50-60,39.36327597440991,above normal,<40,35.353395868116564,near normal,<40,35.59041422471112,below normal,<40
70,Obura/Wonenara District,-6.7384615384615385,145.85555555555555,46.488098016267315,above normal,40-50,49.78216607486043,above normal,40-50,38.69824224064884,above normal,<40,35.14095872024977,above normal,<40,35.96343911219996,below normal,<40
71,Obura/Wonenara District,-6.7384615384615385,145.95,44.53684999840711,above normal,40-50,49.50688847387218,above normal,40-50,38.033208506887775,above normal,<40,36.31146088695245,above normal,<40,36.336463999688796,below normal,<40
72,Obura/Wonenara District,-6.646153846153846,145.85555555555555,44.80866771462487,above normal,40-50,48.38691851491462,above normal,40-50,40.10354941644091,above normal,40-50,34.69923779272471,near normal,<40,35.283160498374805,below normal,<40
73,Obura/Wonenara District,-6.646153846153846,145.95,42.496019114485755,above normal,40-50,48.244788482693444,above normal,40-50,39.70481086511032,above normal,<40,35.78110935015661,above normal,<40,35.61814320696804,below normal,<40
74,Obura/Wonenara District,-6.553846153846154,145.85555555555555,43.129237412982434,above normal,40-50,46.99167095496882,above normal,40-50,41.508856592232966,above normal,40-50,34.87601984799443,near normal,<40,34.60288188454965,below normal,<40
75,Obura/Wonenara District,-6.553846153846154,145.95,40.455188230564424,above normal,40-50,46.982688491514715,above normal,40-50,41.37641322333285,above normal,40-50,35.25075781336078,above normal,<40,34.899822414247296,below normal,<40
76,Obura/Wonenara District,-6.553846153846154,146.04444444444445,37.781139048145604,above normal,<40,46.973706028060604,above normal,40-50,41.243969854432684,above normal,40-50,36.64951293371395,above normal,<40,35.196762943945025,below normal,<40
77,Okapa District,-6.9230769230769225,145.38333333333333,55.82599129754657,above normal,50-60,55.27275042910932,above normal,50-60,41.61463177220557,above normal,40-50,38.11806723730517,near normal,<40,39.7126004888525,above normal,<40
78,Okapa District,-6.8307692307692305,145.38333333333333,55.77227749821337,above normal,50-60,53.352764619295854,above normal,50-60,41.78246391202772,above normal,40-50,38.19192372943731,near normal,<40,38.12154084484612,above normal,<40
79,Okapa District,-6.8307692307692305,145.4777777777778,54.52691806023541,above normal,50-60,52.81111431382764,above normal,50-60,41.01825072962322,above normal,40-50,37.821602800690705,near normal,<40,36.72588281808476,above normal,<40
80,Okapa District,-6.7384615384615385,145.38333333333333,55.71856369888017,above normal,50-60,51.432778809482386,above normal,50-60,41.950296051849875,above normal,40-50,38.26578022156945,near normal,<40,36.53048120083974,above normal,<40
81,Okapa District,-6.7384615384615385,145.4777777777778,54.29309008770871,above normal,50-60,50.883276478813514,above normal,50-60,41.358377175693306,above normal,40-50,37.84621626010155,near normal,<40,35.46152862328262,above normal,<40
82,Okapa District,-6.7384615384615385,145.57222222222222,52.341842069848504,above normal,50-60,50.60799887782527,above normal,50-60,40.69334344193224,above normal,40-50,37.015276129439975,near normal,<40,34.84436444973333,below normal,<40
83,Okapa District,-6.646153846153846,145.2888888888889,55.97446516029012,above normal,50-60,50.83121246137041,above normal,50-60,42.576034767315996,above normal,40-50,38.21441699110351,near normal,<40,36.147943168097186,above normal,<40
84,Okapa District,-6.646153846153846,145.38333333333333,55.664849899546965,above normal,50-60,49.512792999668896,above normal,40-50,42.11812819167203,above normal,40-50,38.33963671370159,near normal,<40,34.93942155683334,above normal,<40
85,Okapa District,-6.646153846153846,145.4777777777778,54.059262115182,above normal,50-60,48.95543864379937,above normal,40-50,41.69850362176341,above normal,40-50,37.8708297195124,near normal,<40,34.19717442848046,above normal,<40
86,Okapa District,-6.646153846153846,145.57222222222222,51.746613515042895,above normal,50-60,48.813308611578194,above normal,40-50,41.29976507043281,above normal,40-50,37.07793173781554,near normal,<40,34.278212372594986,below normal,<40
87,Okapa District,-6.646153846153846,145.66666666666666,49.43396491490378,above normal,40-50,48.67117857935702,above normal,40-50,40.90102651910222,above normal,40-50,36.28503375611867,near normal,<40,34.61319508118822,below normal,<40
88,Okapa District,-6.646153846153846,145.76111111111112,47.12131631476397,above normal,40-50,48.5290485471358,above normal,40-50,40.50228796777151,above normal,40-50,35.49213577442157,near normal,<40,34.94817778978157,below normal,<40
89,Okapa District,-6.553846153846154,145.2888888888889,55.7685854815168,above normal,50-60,49.17751698297846,above normal,40-50,42.74386690713815,above normal,40-50,38.49750161859681,near normal,<40,34.328634719895796,above normal,<40
90,Okapa District,-6.553846153846154,145.38333333333333,55.61113610021376,above normal,50-60,47.59280718985542,above normal,40-50,42.28596033149418,above normal,40-50,38.413493205833724,near normal,<40,33.843490952216435,near normal,<40
91,Okapa District,-6.553846153846154,145.4777777777778,53.825434142655304,above normal,50-60,47.02760080878524,above normal,40-50,42.038630067833495,above normal,40-50,37.895443178923244,near normal,<40,33.652058392582845,near normal,<40
92,Okapa District,-6.553846153846154,145.57222222222222,51.15138496023729,above normal,50-60,47.018618345331134,above normal,40-50,41.906186698933375,above normal,40-50,37.1405873461911,near normal,<40,33.71206029545665,below normal,<40
93,Okapa District,-6.553846153846154,145.66666666666666,48.47733577781927,above normal,40-50,47.00963588187703,above normal,40-50,41.773743330033255,above normal,40-50,36.38573151345895,near normal,<40,34.00900082515429,below normal,<40
94,Okapa District,-6.553846153846154,145.76111111111112,45.80328659540045,above normal,40-50,47.00065341842292,above normal,40-50,41.64129996113309,above normal,40-50,35.630875680726575,near normal,<40,34.30594135485202,below normal,<40
95,Okapa District,-6.461538461538462,145.4777777777778,53.5916061701286,above normal,50-60,45.099762973771114,above normal,40-50,42.37875651390359,above normal,40-50,37.920056638334096,near normal,<40,35.444522105623946,near normal,<40
96,Okapa District,-6.461538461538462,145.57222222222222,50.55615640543168,above normal,50-60,45.22392807908408,above normal,40-50,42.51260832743394,above normal,40-50,37.20324295456666,near normal,<40,34.91263601852742,near normal,<40
97,Okapa District,-6.461538461538462,145.66666666666666,47.52070664073476,above normal,40-50,45.34809318439705,above normal,40-50,42.64646014096429,above normal,40-50,36.486429270799235,near normal,<40,34.3807499314309,near normal,<40
98,Okapa District,-6.461538461538462,145.76111111111112,44.48525687603693,above normal,40-50,45.472258289710055,above normal,40-50,42.78031195449468,above normal,40-50,35.76961558703159,near normal,<40,33.84886384433422,near normal,<40
99,Unggai/Benna District,-6.276923076923077,145.2888888888889,49.68431261009628,above normal,40-50,45.62920489939467,above normal,40-50,42.528059313022354,above normal,40-50,37.813154629882376,near normal,<40,37.118937935770155,near normal,<40
100,Unggai/Benna District,-6.184615384615384,145.2888888888889,44.971587618667876,above normal,40-50,45.14024022866769,above normal,40-50,42.10287718027224,above normal,40-50,36.831895902540374,near normal,<40,36.65348875302091,near normal,<40
101,Unggai/Benna District,-6.184615384615384,145.38333333333333,44.83351107413555,above normal,40-50,43.87941151592668,above normal,40-50,42.065892725946576,above normal,40-50,36.81705338707994,below normal,<40,36.08779743938174,near normal,<40
102,Unggai/Benna District,-6.184615384615384,145.4777777777778,43.6444598592076,above normal,40-50,43.90929416385439,above normal,40-50,42.2750422683859,above normal,40-50,36.67730835926602,below normal,<40,35.7236795287539,near normal,<40
103,Unggai/Benna District,-6.092307692307692,145.4777777777778,39.23267460893648,above normal,<40,44.05697513333921,above normal,40-50,42.107209985512604,above normal,40-50,37.08681340814125,below normal,<40,35.21233814002317,near normal,<40
104,Unggai/Benna District,-6.092307692307692,145.57222222222222,38.17401007303159,above normal,<40,45.0193014180345,above normal,40-50,42.450646097590074,above normal,40-50,36.53766734157259,below normal,<40,35.20546965326891,near normal,<40
105,Unggai/Benna District,-6.0,145.4777777777778,39.00675145391665,near normal,<40,44.20465610282403,above normal,40-50,41.939377702639305,above normal,40-50,37.49631845701647,below normal,<40,34.700996751292436,near normal,<40
106,Unggai/Benna District,-6.0,145.57222222222222,38.72055398168672,near normal,<40,45.395235610547346,above normal,40-50,42.282813814716775,above normal,40-50,37.06129899946759,below normal,<40,34.941402629393046,near normal,<40
107,Unggai/Benna District,-5.907692307692307,145.57222222222222,40.600287778723256,near normal,40-50,45.7711698030602,above normal,40-50,42.114981531843476,above normal,40-50,37.58493065736259,below normal,<40,34.67733560551717,near normal,<40
